X;Y;NOMBRE;DOMICILIO;IMAGEN;AUTOMAT;OBSERV;NRO_EST;HORARIO;DIRE_NORM
-58.415775044145761;-34.635148035031023;LAS CASAS;LAS CASAS 3587 ENTRE AV. BOEDO Y ALZAGA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;140;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;3587 LAS CASAS
-58.360933146169877;-34.634072090731728;PINZON;PINZON 469 Y MARTIN RODRIGUEZ;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;176;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;469 PINZON
-58.405312698930736;-34.5824723755753;CABELLO;CABELLO ENTRE CNEL DIAZ Y ORTIZ DE OCAMPO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;mar-17;89;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;CABELLO Y DIAZ CNEL AV
-58.369430546477375;-34.63997121461631;MINISTERIO DE JUSTICIA Y SEGURIDAD;REGIMIENTO DE PATRICIOS Y ARAOZ DE LAMADRID;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;126;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;REGIMIENTO DE PATRICIOS AV Y ARAOZ DE LAMADRID GREGORIO
-58.455062194509573;-34.58754836364119;FEDERICO LACROZE;AV CORRIENTES 6800 Y FEDERICO LACROZE;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;104;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;6900 CORRIENTES AV
-58.371705908622801;-34.63081220936121;RUY DIAZ DE GUZMAN;RUY DIAZ DE GUZMAN Y AV. MARTIN GARCIA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;73;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;RUY DIAZ DE GUZMAN Y GARCIA MARTIN AV
-58.380912274696165;-34.608231785987975;RIVADAVIA Y 9 DE JULIO;RIVADAVIA Y CARLOS PELLEGRINI;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;191;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;RIVADAVIA AV Y PELLEGRINI CARLOS
-58.374752508872881;-34.622059941973134;PLAZA CECILIA GRIERSON;AV SAN JUAN 632;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;173;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;632 SAN JUAN AV
-58.4378366120078;-34.580469465389193;RAVIGNANI;RAVIGNANI 1883 Y COSTA RICA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;145;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1883 RAVIGNANI EMILIO DR
-58.411913670783647;-34.592696613881621;BILLINGHURST Y MANSILLA;BILLINGHURST 1533 Y MANSILLA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;181;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1853 BILLINGHURST
-58.445098655359651;-34.592839213799103;VILLARROEL;VILLARROEL Y HUMBOLDT;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;158;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;VILLARROEL Y HUMBOLDT
-58.36208336032481;-34.630692805891833;JUAN MANUEL BLANES;JUAN MANUEL BLANES 383;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;153;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;383 BLANES JUAN MANUEL
-58.388415093700083;-34.60300443628654;PARANA;LAVALLE ENTTRE MONTEVIDEO Y PARANA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;83;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;LAVALLE Y PARANA
-58.370984931913313;-34.625607180603218;BRASIL;BRASIL Y DEFENSA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;172;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;BRASIL AV Y DEFENSA
-58.407787551975339;-34.622194454298125;HOSPITAL FRANCES;HOSPITAL FRANCES: CARLOS CALVO Y LA RIOJA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;146;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;CALVO CARLOS Y LA RIOJA
-58.394769493400744;-34.62060134032108;CARLOS CALVO;CARLOS CALVO Y SARANDI;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;93;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;CALVO CARLOS Y SARANDI
-58.362999658555687;-34.604969163174367;MACACHA GUEMES;MACACHA GUEMES Y JUANA MANSO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;111;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;GUEMES MACACHA Y MANSO JUANA
-58.403533150668629;-34.577414620685857;MALBA;AV FIGUEROA ALCORTA Y SAN MARTIN DE TOURS;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;103;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;FIGUEROA ALCORTA, PRES. AV. Y SAN MARTIN DE TOURS
-58.420210254692847;-34.57296236756175;GODOY CRUZ Y LIBERTADOR;GODOY CRUZ 3291 ENTRE AV DEL LIBERTADOR Y SEGUI;ESTACION_AUTOMATICA.PNG;AUTOMATICA;abr-17;160;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;3291 GODOY CRUZ
-58.43523360815378;-34.578190951278799;RAVIGNANI Y GUATEMALA;RAVIGNANI 2171 Y GUATEMALA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;182;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;2171 RAVIGNANI
-58.387766665448403;-34.634948959411801;HOSPITAL BRITANICO;PERDRIEL Y FINOCHIETTO ENRIQUE;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;138;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;PERDRIEL Y FINOCHIETTO ENRIQUE DR.
-58.374285096617328;-34.591940862666128;RETIRO II;PLAZA FUERZA AEREA: AV. DR. J. RAMOS MEJIA Y AV DEL LIBERTADOR;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;130;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;DEL LIBERTADOR AV Y RAMOS MEJIA DR AV
-58.374210028319148;-34.591846492840453;RETIRO III;PLAZA FUERZA AEREA: AV. DR. J. RAMOS MEJIA Y AV DEL LIBERTADOR;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;131;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;DEL LIBERTADOR AV Y RAMOS MEJIA DR AV
-58.395944359526922;-34.630437687184951;HOSPITAL GARRAHAN;HOSPITAL GARRAHAN: AV BRASIL Y PICHINCHA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;107;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;BRASIL AV Y PICHINCHA AV
-58.43438250822151;-34.581039917576042;NICARAGUA;NICARAGUA 5690 ENTRE BONPLAND Y FITZ ROY;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;133;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;5690 NICARAGUA
-58.415758703809693;-34.604635232518127;BILLINGHURST Y VALENTIN GOMEZ;BILLINGHURST 455 Y VALENTIN GOMEZ;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;143;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;455 BILLINGHURST
-58.367470006978053;-34.615926396668854;AZOPARDO Y CHILE;AZOPARDO 700 Y CHILE;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;137;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;AZOPARDO Y CHILE
-58.428217167339248;-34.583480107248732;ORO;FRAY JUSTO SANTAMARIA DE ORO Y GUATEMALA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;125;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;FRAY JUSTO SANTAMARIA DE ORO Y GUATEMALA
-58.374218007911907;-34.619940439559457;HUMBERTO PRIMO;PERU 1016 ENTRE HUMBERTO PRIMO Y CARLOS CALVO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;117;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1016 PERU
-58.40259838421953;-34.592104240900895;HOSPITAL ALEMAN;BERUTI Y ECUADOR;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;116;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;BERUTI Y ECUADOR
-58.390410553701393;-34.611837952645175;SOLIS Y ALSINA;SOLIS 225 Y ADOLFO ALSINA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;141;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;225 SOLIS
-58.452926826149607;-34.592212477511566;SANTOS DUMONT Y OTERO;SANTOS DUMONT 4380 Y OTERO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;127;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;4380 DUMONT SANTOS
-58.428888195689588;-34.590554215666046;ARMENIA Y GORRITI;ARMENIA 1525 ENTRE GORRITI Y HONDURAS;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;142;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1525 ARMENIA
-58.37910486128024;-34.627455406115587;CONSTITUCION I;AV BRASIL 1050 Y LIMA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;147;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1050 BRASIL AV
-58.379231885257802;-34.627494076458305;CONSTITUCION II;AV BRASIL 1060 Y LIMA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;may-17;148;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1060 BRASIL AV
-58.412559298141083;-34.641727910511285;PARQUE JOSE EVARISTO URIBURU;PQUE. JOSE E. URIBURU - ALMAFUERTE 300;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jun-17;155;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;300 ALMAFUERTE AV.
-58.406616799181087;-34.609355486334692;ONCE II;BARTOLOME MITRE Y AV PUEYRREDON;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jun-17;163;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;MITRE BARTOLOME Y PUEYRREDON AV
-58.427952183187443;-34.628309212713773;SENILLOSA Y ZUVIRIA;SENILLOSA 989 Y ZUVIRIA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jun-17;157;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;989 SENILLOSA
-58.43739683340209;-34.58503639373545;GORRITI;FITZ ROY 1590 Y GORRITI;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jun-17;159;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1590 FITZ ROY
-58.401945169855814;-34.609239096778353;LARREA Y BARTOLOME MITRE;LARREA ENTRE BARTOLOME MITRE Y AV RIVADAVIA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jun-17;162;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;LARREA Y MITRE BARTOLOME
-58.405966223158757;-34.599732704138212;SAN LUIS Y ECUADOR;SAN LUIS 2862 ENTRE ECUADOR Y BOULOGNE SUR MER;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jun-17;170;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;2862 SAN LUIS
-58.407851663360042;-34.597763577063262;PLAZA MONSEÑOR MIGUEL DE ANDREA;PLAZA MONSEÑOR MIGUEL DE ANDREA (ANCHORENA 900);ESTACION_AUTOMATICA.PNG;AUTOMATICA;jun-17;165;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;901 ANCHORENA TOMAS MANUEL
-58.381282608213887;-34.61861995681673;ESTADOS UNIDOS;ESTADOS UNIDOS Y LIMA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jun-17;168;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;ESTADOS UNIDOS Y LIMA
-58.399526865532486;-34.603242952572593;PASTEUR;PASTEUR 501 ENTRE TUCUMAN Y LAVALLE;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jun-17;171;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;501 PASTEUR
-58.407965559468003;-34.577849108765662;PLAZA ALEMANIA;PLAZA ALEMANIA: DEL LIBERTADOR AV Y CAVIA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jun-17;156;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;DEL LIBERTADOR AV Y CAVIA
-58.411924763960371;-34.6120200280467;FACULTAD DE PSICOLOGIA;HIPOLITO YRIGOYEN Y 24 DE NOVIEMBRE;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jul-17;169;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;YRIGOYEN HIPOLITO Y 24 DE NOVIEMBRE
-58.391548775098677;-34.597261472489798;MINISTERIO DE EDUCACION;MARCELO T DE ALVEAR 1698 Y RODRIGUEZ PEÑA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jul-17;174;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1698 ALVEAR MARCELO T DE
-58.412158544546728;-34.568073891386383;PLANETARIO;AV. ROLDAN, BELISARIO Y AV. SARMIENTO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jul-17;177;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;ROLDAN BELISARIO AV Y SARMIENTO AV
-58.42486660380937;-34.623457406189338;JOSE MARMOL;JOSE MARMOL 803 Y ESTADOS UNIDOS;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jul-17;178;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;803 MARMOL JOSE
-58.42047096263039;-34.619802649015007;CASTRO Y MEXICO;CASTRO 680 ENTRE MEXICO Y AGRELO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jul-17;180;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;680 CASTRO
-58.389691907404696;-34.615637634194186;VIRREY CEVALLOS;MEXICO 1652 ENTRE VIRREY CEVALLOS Y SOLIS;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jul-17;183;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1652 MEXICO
-58.421782575094312;-34.631369971819453;AV PAVON Y 33 ORIENTALES;33 ORIENTALES 1439, ENTRE AV. PAVON Y AV. GARAY;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jul-17;185;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1439 TREINTA Y TRES ORIENTALES
-58.407142529845487;-34.612551285682869;CATAMARCA;ADOLFO ALSINA 2910 Y CATAMARCA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jul-17;186;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;2910 ALSINA ADOLFO
-58.38561510328617;-34.597798804635822;TALCAHUANO;TALCAHUANO 1034 Y MARCELO T DE ALVEAR;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jul-17;192;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1034 TALCAHUANO
-58.40597385351213;-34.591110880844745;ARENALES Y AGUERO;ARENALES 2882 Y AGUERO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jul-17;193;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;2882 ARENALES
-58.422572042117523;-34.605952483313381;PERON Y FRANCISCO ACUÑA DE FIGUEROA;PERON, JUAN DOMINGO TTE 3989 ENTRE FRANCISCO ACUÑA DE FIGUEROA Y MEDRANO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;jul-17;194;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;3989 PERON JUAN DOMINGO TTE
-58.433506016026953;-34.610796276933669;ARANGUREN;ARANGUREN 188 ENTRE PORTUGAL Y EDUARDO ACEVEDO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ago-17;188;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;188 ARANGUREN JUAN F DR
-58.391318632494574;-34.630678908608012;PEDRO ECHAGUE;PEDRO ECHAGUE 1878 ENTRE COMBATE DE LOS POZOS Y AV ENTRE RIOS;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ago-17;184;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1878 ECHAGUE PEDRO
-58.385586020481099;-34.588474694640745;POSADAS;POSADAS 1350 ENTRE MONTEVIDEO Y RODRIGUEZ PEÑA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ago-17;189;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1350 POSADAS
-58.431791182618312;-34.617666753946246;PARQUE RIVADAVIA;CHACO 250;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ago-17;187;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;250 CHACO
-58.387453831513604;-34.627049137072717;PLAZA GARAY;AV JUAN DE GARAY Y LUIS SAENZ PEÑA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ago-17;195;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;GARAY JUAN DE AV Y SAENZ PEÑA LUIS PRES
-58.411227422339543;-34.585077755699494;JUNCAL;JUNCAL 3320 Y JERONIMO SALGUERO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ago-17;190;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;3320 JUNCAL
-58.423480858497392;-34.613596262550857;QUINTINO BOCAYUVA;QUINTINO BOCAYUVA Y DON BOSCO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ago-17;197;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;BOCAYUVA QUINTINO Y DON BOSCO
-58.415881554842905;-34.62243894380331;ESTADOS UNIDOS Y BOEDO;ESTADOS UNIDOS 3568 ENTRE BOEDO Y MAZA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ago-17;199;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;3568 ESTADOS UNIDOS
-58.40413806434006;-34.634380008770734;HOSPITAL SARDA;CATULO CASTILLO 2896 Y DEAN FUNES;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ago-17;198;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;2896 CASTILLO CATULO
-58.366019048823837;-34.627776343153691;HOSPITAL ARGERICH;PI Y MARGALL 750 ENTRE NECOCHEA Y ALTE. BROWN;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ago-17;196;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;750 PI Y MARGALL
-58.387652923008851;-34.608991591755817;CONGRESO II;AV RIVADAVIA Y PARANA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ago-17;39;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;RIVADAVIA AV Y PARANA
-58.445986749829501;-34.586439891883934;ROSETI;ROSETI 50 Y AV DORREGO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;sep-17;102;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;50 ROSETI
-58.404361082670057;-34.588191458095594;AUSTRIA Y FRENCH;AUSTRIA 2080 ENTRE FRENCH Y JUNCAL;ESTACION_AUTOMATICA.PNG;AUTOMATICA;sep-17;200;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;2080  AUSTRIA
-58.360399306334941;-34.639114073312314;LA BOCA;DON PEDRO DE MENDOZA 1819;ESTACION_AUTOMATICA.PNG;AUTOMATICA;INAUGURACION 05/12/2017;179;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;DON PEDRO DE MENDOZA AV 1819
